Chromosome	Status	Assigned_Merian_elements
SUPER_Z1	fusion	"M24,MZ"
SUPER_16	fusion	"M25,M5"
SUPER_26	fusion	"M22,M28"
SUPER_97	fusion	"M17,M20"
SUPER_93	fusion	"M2,M9"
SUPER_138	fusion	"M25,M5"
SUPER_182	fusion	"M14,M26"
SUPER_95	fusion	"M18,M30"
SUPER_40	fusion	"M25,M5"
SUPER_W1	fusion	"M16,M24"
SUPER_24	split	M28
SUPER_13	split	M28
SUPER_74	split	M28
SUPER_75	split	M28
SUPER_190	split	M3
SUPER_212	split	M3
SUPER_114	split	M3
SUPER_17	split	M3
SUPER_58	split	M3
SUPER_85	split	M3
SUPER_49	split	M3
SUPER_151	split	M3
SUPER_188	split	M3
SUPER_215	split	M3
SUPER_205	split	M3
SUPER_115	split	M3
SUPER_208	split	M5
SUPER_142	split	M5
SUPER_20	split	M5
SUPER_90	split	M5
SUPER_127	split	M5
SUPER_223	split	M5
SUPER_37	split	M5
SUPER_70	split	M5
SUPER_220	split	M5
SUPER_65	split	M19
SUPER_196	split	M19
SUPER_150	split	M19
SUPER_79	split	M19
SUPER_92	split	M19
SUPER_121	split	M19
SUPER_181	split	M19
SUPER_68	split	M25
SUPER_219	split	M10
SUPER_36	split	M10
SUPER_117	split	M10
SUPER_125	split	M10
SUPER_106	split	M10
SUPER_64	split	M10
SUPER_87	split	M10
SUPER_222	split	M10
SUPER_227	split	M10
SUPER_63	split	M10
SUPER_71	split	M2
SUPER_31	split	M2
SUPER_119	split	M2
SUPER_15	split	M2
SUPER_207	split	M2
SUPER_214	split	M2
SUPER_113	split	M2
SUPER_116	split	M2
SUPER_210	split	M2
SUPER_154	split	M2
SUPER_199	split	M2
SUPER_34	split	M12
SUPER_23	split	M12
SUPER_156	split	M12
SUPER_12	split	M12
SUPER_155	split	M12
SUPER_55	split	M12
SUPER_82	split	M12
SUPER_29	split	M12
SUPER_202	split	M1
SUPER_2	split	M1
SUPER_177	split	M1
SUPER_53	split	M1
SUPER_176	split	M1
SUPER_170	split	M1
SUPER_203	split	M1
SUPER_194	split	M1
SUPER_191	split	M1
SUPER_112	split	M1
SUPER_213	split	M1
SUPER_8	split	M13
SUPER_111	split	M13
SUPER_134	split	M13
SUPER_178	split	M13
SUPER_66	split	M13
SUPER_159	split	M13
SUPER_201	split	M13
SUPER_126	split	M13
SUPER_166	split	M13
SUPER_32	split	M22
SUPER_10	split	M22
SUPER_44	split	M22
SUPER_27	split	M22
SUPER_28	split	M22
SUPER_108	split	M22
SUPER_147	split	M22
SUPER_143	split	M17
SUPER_100	split	M17
SUPER_99	split	M17
SUPER_96	split	M17
SUPER_6	split	M17
SUPER_198	split	M17
SUPER_129	split	M8
SUPER_160	split	M8
SUPER_209	split	M8
SUPER_7	split	M8
SUPER_38	split	M8
SUPER_3	split	M8
SUPER_52	split	M8
SUPER_128	split	M8
SUPER_50	split	M8
SUPER_145	split	M8
SUPER_152	split	M8
SUPER_130	split	M18
SUPER_56	split	M18
SUPER_69	split	M18
SUPER_5	split	M18
SUPER_46	split	M18
SUPER_186	split	M18
SUPER_135	split	M18
SUPER_148	split	M18
SUPER_Z2	split	M16
SUPER_131	split	M23
SUPER_141	split	M23
SUPER_41	split	M23
SUPER_217	split	M23
SUPER_67	split	M23
SUPER_84	split	M23
SUPER_163	split	M6
SUPER_172	split	M6
SUPER_73	split	M6
SUPER_211	split	M6
SUPER_101	split	M6
SUPER_167	split	M6
SUPER_94	split	M6
SUPER_19	split	M6
SUPER_144	split	M6
SUPER_146	split	M6
SUPER_140	split	M6
SUPER_124	split	M4
SUPER_98	split	M4
SUPER_4	split	M4
SUPER_158	split	M4
SUPER_206	split	M4
SUPER_76	split	M4
SUPER_25	split	M4
SUPER_110	split	M4
SUPER_153	split	M4
SUPER_21	split	M11
SUPER_14	split	M11
SUPER_81	split	M11
SUPER_133	split	M11
SUPER_104	split	M11
SUPER_122	split	M11
SUPER_137	split	M11
SUPER_120	split	M7
SUPER_22	split	M7
SUPER_197	split	M7
SUPER_89	split	M7
SUPER_80	split	M7
SUPER_226	split	M7
SUPER_157	split	M7
SUPER_204	split	M7
SUPER_78	split	M7
SUPER_118	split	M7
SUPER_179	split	M7
SUPER_165	split	M7
SUPER_47	split	M14
SUPER_109	split	M14
SUPER_164	split	M14
SUPER_132	split	M14
SUPER_187	split	M14
SUPER_224	split	M14
SUPER_173	split	M14
SUPER_189	split	M14
SUPER_57	split	M21
SUPER_175	split	M21
SUPER_72	split	M21
SUPER_221	split	M21
SUPER_9	split	M21
SUPER_184	split	M21
SUPER_43	split	M21
SUPER_136	split	M15
SUPER_39	split	M15
SUPER_185	split	M15
SUPER_60	split	M15
SUPER_195	split	M15
SUPER_18	split	M15
SUPER_102	split	M15
SUPER_88	split	M15
SUPER_193	split	M15
SUPER_59	split	M9
SUPER_200	split	M9
SUPER_218	split	M9
SUPER_61	split	M9
SUPER_123	split	M9
SUPER_192	split	M9
SUPER_162	split	M9
SUPER_225	split	M9
SUPER_45	split	M9
SUPER_180	split	M9
SUPER_174	split	M9
SUPER_216	split	M9
SUPER_1	split	M20
SUPER_91	split	M20
SUPER_161	split	M20
SUPER_48	split	M27
SUPER_11	split	M27
SUPER_149	split	M27
SUPER_103	split	M26
SUPER_83	split	M26
SUPER_139	split	M26
SUPER_54	split	M26
SUPER_171	split	M26
SUPER_77	split	M29
SUPER_86	split	M29
SUPER_105	split	M29
SUPER_42	split	M31
SUPER_168	split	M31
SUPER_33	split	M31
SUPER_51	split	M30
SUPER_62	split	M30
