buscoID	query_chr	position	assigned_chr	status
0at7088	SUPER_24	374721.0	M28	self
1at7088	SUPER_Z1	20636459.0	MZ	self
2at7088	SUPER_190	1440203.5	M3	self
3at7088	SUPER_208	810372.5	M5	self
4at7088	SUPER_65	1483974.0	M19	self
6at7088	SUPER_16	1775518.0	M5	self
11at7088	SUPER_219	1099997.0	M10	self
13at7088	SUPER_71	1907893.5	M13	M13
18at7088	SUPER_36	165549.5	M10	self
20at7088	SUPER_34	3011616.5	M12	self
25at7088	SUPER_117	1477847.5	M10	self
26at7088	SUPER_202	1370277.5	M1	self
27at7088	SUPER_Z1	22983398.0	MZ	self
31at7088	SUPER_13	3179102.0	M28	self
33at7088	SUPER_2	4590881.5	M1	self
34at7088	SUPER_177	1562482.0	M1	self
36at7088	SUPER_8	1558815.0	M13	self
37at7088	SUPER_Z1	16958456.0	MZ	self
38at7088	SUPER_26	2391452.0	M28	M28
41at7088	SUPER_142	1257240.5	M5	self
43at7088	SUPER_23	1052376.5	M12	self
46at7088	SUPER_20	2365404.5	M5	self
47at7088	SUPER_143	1509325.5	M17	self
48at7088	SUPER_32	2170808.5	M22	self
49at7088	SUPER_212	343257.0	M3	self
50at7088	SUPER_129	1429829.5	M8	self
52at7088	SUPER_130	1664873.5	M18	self
54at7088	SUPER_160	110180.5	M8	self
56at7088	SUPER_156	1091110.0	M12	self
57at7088	SUPER_53	451601.0	M1	self
59at7088	SUPER_125	310863.5	M10	self
63at7088	SUPER_Z2	24361490.5	M16	self
64at7088	SUPER_114	657741.5	M3	self
65at7088	SUPER_131	1397300.0	M23	self
66at7088	SUPER_163	1696547.5	M6	self
68at7088	SUPER_Z1	4693994.5	MZ	self
72at7088	SUPER_100	1584629.5	M17	self
74at7088	SUPER_124	975072.0	M4	self
78at7088	SUPER_21	1750987.5	M11	self
83at7088	SUPER_74	1363417.5	M28	self
84at7088	SUPER_14	1884980.0	M11	self
86at7088	SUPER_120	740936.5	M7	self
88at7088	SUPER_2	1311069.0	M1	self
96at7088	SUPER_Z1	7781295.5	MZ	self
101at7088	SUPER_Z1	8850789.5	MZ	self
103at7088	SUPER_32	2832266.0	M22	self
105at7088	SUPER_13	3143220.0	M28	self
112at7088	SUPER_100	759725.0	M17	self
113at7088	SUPER_Z1	8996755.0	MZ	self
116at7088	SUPER_2	3941250.5	M1	self
122at7088	SUPER_47	2273901.5	M14	self
123at7088	SUPER_81	2313995.5	M11	self
126at7088	SUPER_109	61712.5	M14	self
127at7088	SUPER_10	288264.5	M22	self
128at7088	SUPER_17	2083925.0	M3	self
133at7088	SUPER_22	1233075.5	M7	self
136at7088	SUPER_176	648447.0	M1	self
139at7088	SUPER_57	168031.5	M21	self
140at7088	SUPER_98	2190878.0	M4	self
145at7088	SUPER_32	2020462.5	M22	self
148at7088	SUPER_136	1519211.0	M15	self
155at7088	SUPER_56	1570884.5	M18	self
158at7088	SUPER_36	2093799.0	M10	self
159at7088	SUPER_14	2366297.5	M11	self
160at7088	SUPER_59	1933866.5	M9	self
163at7088	SUPER_209	387664.5	M8	self
173at7088	SUPER_47	616530.0	M14	self
177at7088	SUPER_197	403542.5	M7	self
179at7088	SUPER_20	2802249.0	M5	self
183at7088	SUPER_90	1006763.0	M5	self
184at7088	SUPER_69	2064573.5	M18	self
186at7088	SUPER_114	345384.0	M3	self
190at7088	SUPER_24	2987720.5	M28	self
193at7088	SUPER_4	1323070.5	M4	self
196at7088	SUPER_127	1669822.0	M5	self
200at7088	SCAFFOLD_202	15620.0	M13	self
201at7088	SUPER_12	1712596.5	M12	self
204at7088	SUPER_31	1237262.5	M2	self
206at7088	SUPER_97	1762277.5	M20	self
207at7088	SUPER_89	290166.0	M7	self
208at7088	SUPER_119	470213.0	M2	self
210at7088	SUPER_119	1511607.0	M2	self
212at7088	SUPER_Z1	17021739.5	MZ	self
215at7088	SUPER_39	620681.0	M15	self
220at7088	SUPER_172	981136.5	M6	self
231at7088	SUPER_8	2818054.0	M13	self
232at7088	SUPER_190	1247535.0	M3	self
235at7088	SUPER_170	860397.5	M1	self
236at7088	SUPER_15	2545879.0	M2	self
242at7088	SUPER_200	1441314.5	M9	self
246at7088	SUPER_106	493116.5	M10	self
248at7088	SUPER_32	1701395.5	M22	self
250at7088	SUPER_111	1212914.0	M13	self
254at7088	SUPER_17	876540.0	M3	self
259at7088	SUPER_24	582910.5	M28	self
263at7088	SUPER_Z1	38257305.0	M24	M24
266at7088	SUPER_Z1	18531596.0	MZ	self
270at7088	SUPER_Z1	19182839.5	MZ	self
271at7088	SUPER_158	459479.0	M4	self
273at7088	SUPER_56	948213.5	M18	self
274at7088	SUPER_73	1166268.0	M6	self
281at7088	SUPER_58	565628.0	M3	self
288at7088	SUPER_48	2525325.0	M27	self
302at7088	SUPER_24	2767994.5	M28	self
303at7088	SUPER_53	156700.0	M1	self
307at7088	SUPER_5	349924.0	M18	self
311at7088	SUPER_175	55889.5	M21	self
315at7088	SUPER_Z2	23619919.5	M16	self
316at7088	SUPER_209	147396.0	M8	self
318at7088	SUPER_127	1241314.0	M5	self
321at7088	SUPER_Z1	7269977.5	MZ	self
322at7088	SUPER_56	1113050.5	M18	self
324at7088	SUPER_207	130698.5	M2	self
325at7088	SUPER_158	1170647.5	M4	self
326at7088	SUPER_203	183795.5	M1	self
328at7088	SUPER_185	543776.5	M15	self
332at7088	SUPER_31	3087041.0	M2	self
335at7088	SUPER_155	1843250.5	M29	M29
338at7088	SUPER_80	584077.0	M7	self
340at7088	SUPER_57	335271.5	M21	self
342at7088	SUPER_218	1256920.5	M9	self
345at7088	SUPER_103	1604646.5	M26	self
350at7088	SUPER_190	1153368.5	M3	self
353at7088	SUPER_13	3424231.5	M28	self
354at7088	SUPER_Z2	12039785.0	M16	self
357at7088	SUPER_Z1	39488443.5	M24	M24
360at7088	SUPER_Z1	21577741.5	MZ	self
363at7088	SUPER_134	1626695.0	M13	self
367at7088	SUPER_55	2817371.5	M12	self
375at7088	SUPER_Z2	10801258.5	M16	self
380at7088	SUPER_211	432474.5	M6	self
382at7088	SUPER_60	2460998.0	M15	self
383at7088	SUPER_190	1138803.0	M3	self
384at7088	SUPER_214	1176404.5	M2	self
385at7088	SUPER_133	1811977.0	M11	self
386at7088	SUPER_206	1132023.5	M4	self
389at7088	SUPER_Z1	26052676.0	MZ	self
391at7088	SUPER_Z1	9227701.5	MZ	self
392at7088	SUPER_100	630600.0	M17	self
393at7088	SUPER_32	336746.5	M22	self
396at7088	SUPER_90	851066.0	M5	self
401at7088	SUPER_127	1068159.0	M5	self
408at7088	SUPER_2	4760009.5	M1	self
412at7088	SUPER_85	2228873.0	M3	self
417at7088	SUPER_133	1853627.5	M11	self
420at7088	SUPER_178	1161191.5	M13	self
427at7088	SUPER_77	2298902.5	M29	self
430at7088	SUPER_46	197343.5	M18	self
434at7088	SUPER_143	223610.0	M17	self
437at7088	SUPER_196	137903.0	M19	self
443at7088	SUPER_142	1144083.5	M5	self
445at7088	SUPER_34	1399227.0	M12	self
450at7088	HAP1_SCAFFOLD_495	6736.0	M17	self
455at7088	SUPER_176	600141.5	M1	self
461at7088	SUPER_49	522806.0	M3	self
