Chr	Start	End	Type_of_telomeric_sequence		
SUPER_W1	6223381	6225016	middle		
SUPER_W1	60579304	60579570	middle		
SUPER_W1	60583499	60583745	middle		
SUPER_Z1	37169428	37170393	middle		
SUPER_Z2	4093264	4095027	middle		
SUPER_1	5286	5680	end		
SUPER_1	6132	6800	end		
SUPER_1	46040	46069	end		
SUPER_1	1626546	1627216	middle		
SUPER_1	1755739	1756874	middle		
SUPER_1	2282715	2284178	middle		
SUPER_1	4372365	4372754	middle		
SUPER_2	1380538	1381832	middle		
SUPER_2	1389204	1390295	middle		
SUPER_2	1396500	1397638	middle		
SUPER_2	1400266	1400604	middle		
SUPER_2	1400931	1401195	middle		
SUPER_2	1935108	1936195	middle		
SUPER_W2	1692970	1693046	middle		
SUPER_W2	2638498	2639034	middle		
SUPER_W2	4456487	4457416	end		
SUPER_3	884046	884108	middle		
SUPER_3	1348827	1350512	middle		
SUPER_3	1351012	1352046	middle		
SUPER_3	2551712	2553225	middle		
SUPER_3	2555668	2555761	middle		
SUPER_4	1225645	1225674	middle		
SUPER_4	1564781	1567146	middle		
SUPER_4	4412064	4413380	end		
SUPER_5	2652245	2655752	middle		
SUPER_6	1854473	1857425	middle		
SUPER_6	1854473	1857425	middle		
SUPER_6	1854473	1857425	middle		
SUPER_6	1986986	1987701	middle		
SUPER_6	4274967	4276570	end		
SUPER_7	2432156	2432782	middle		
SUPER_10	1856115	1856333	middle		
SUPER_10	1861026	1861052	middle		
SUPER_11	3704262	3704589	end		
SUPER_14	1261522	1261552	middle		
SUPER_16	2269759	2270836	middle		
SUPER_16	2422165	2422678	middle		
SUPER_16	2423514	2423827	middle		
SUPER_16	2424665	2424923	middle		
SUPER_16	2425760	2425998	middle		
SUPER_16	2426835	2433454	middle		
SUPER_16	2434288	2434621	middle		
SUPER_17	1142763	1142917	middle		
SUPER_19	1429394	1430434	middle		
SUPER_19	1538094	1538699	middle		
SUPER_19	1556209	1557592	middle		
SUPER_19	1599173	1599239	middle		
SUPER_21	2519423	2519576	middle		
SUPER_22	1802747	1803304	middle		
SUPER_22	1804591	1804615	middle		
SUPER_22	1815345	1816348	middle		
SUPER_22	1823567	1824385	middle		
SUPER_22	1830517	1835910	middle		
SUPER_22	1830517	1835910	middle		
SUPER_22	3143478	3143577	middle		
SUPER_24	71232	72055	end		
SUPER_25	818349	819431	middle		
SUPER_25	837567	839125	middle		
SUPER_26	964078	964170	middle		
SUPER_26	2738420	2738569	middle		
SUPER_26	2738802	2738955	middle		
SUPER_26	2743223	2743366	middle		
SUPER_26	2764565	2764866	middle		
SUPER_29	1301249	1301744	middle		
SUPER_29	2369076	2371110	middle		
SUPER_30	6443	6475	end		
SUPER_30	3045279	3050077	middle		
SUPER_30	3057505	3057996	middle		
SUPER_31	11331	11385	end		
SUPER_31	3174486	3174644	end		
SUPER_33	22705	24826	end		
SUPER_33	29406	29480	end		
SUPER_33	2241440	2242324	middle		
SUPER_33	2249427	2249528	middle		
SUPER_33	3129279	3129317	end		
SUPER_34	1204676	1205641	middle		
SUPER_35	299715	299804	middle		
SUPER_35	328178	329097	middle		
SUPER_35	1742848	1743162	middle		
SUPER_35	1743378	1745696	middle		
SUPER_35	1753440	1754415	middle		
SUPER_37	1892499	1893229	middle		
SUPER_38	2169246	2169441	middle		
SUPER_39	1590208	1590233	middle		
SUPER_39	2368328	2369224	middle		
SUPER_39	2776036	2776267	middle		
SUPER_40	2316	6078	end		
SUPER_40	27766	27842	end		
SUPER_40	3013554	3013707	end		
SUPER_41	1462306	1463247	middle		
SUPER_41	1468823	1470001	middle		
SUPER_41	2278237	2281935	middle		
SUPER_41	2289256	2289874	middle		
SUPER_42	27220	27564	end		
SUPER_43	1247495	1249704	middle		
SUPER_43	1690405	1692984	middle		
SUPER_43	1954644	1955059	middle		
SUPER_43	1965869	1966140	middle		
SUPER_43	1966873	1968374	middle		
SUPER_44	2983062	2983964	end		
SUPER_45	908110	909988	middle		
SUPER_45	914596	914624	middle		
SUPER_45	919267	919594	middle		
SUPER_45	964242	964771	middle		
SUPER_46	639129	639665	middle		
SUPER_46	2934429	2934621	end		
SUPER_47	13624	13697	end		
SUPER_47	1484006	1484231	middle		
SUPER_47	1547762	1547939	middle		
SUPER_48	25823	28536	end		
SUPER_48	25823	28536	end		
SUPER_48	31424	31942	end		
SUPER_48	34523	35864	end		
SUPER_48	1472077	1478804	middle		
SUPER_50	14767	14801	end		
SUPER_54	1328719	1330881	middle		
SUPER_54	1340806	1342157	middle		
SUPER_54	1349280	1349388	middle		
SUPER_54	1359569	1359645	middle		
SUPER_56	67558	67996	end		
SUPER_56	69463	70386	end		
SUPER_56	75166	75354	middle		
SUPER_59	9220	9275	end		
SUPER_59	1023014	1023533	middle		
SUPER_59	1031879	1031909	middle		
SUPER_60	941922	942705	middle		
SUPER_61	9736	11599	end		
SUPER_61	18101	18125	end		
SUPER_63	1419	3001	end		
SUPER_63	2697187	2698490	end		
SUPER_63	2699832	2699955	end		
SUPER_67	10533	10828	end		
SUPER_69	365	2382	end		
SUPER_69	284957	285647	middle		
SUPER_69	289328	289561	middle		
SUPER_69	290526	291712	middle		
SUPER_69	290526	291712	middle		
SUPER_72	1503669	1505531	middle		
SUPER_72	1509935	1512308	middle		
SUPER_72	2648216	2648973	end		
SUPER_72	2652150	2652909	end		
SUPER_72	2658968	2659277	end		
SUPER_73	2657956	2659530	end		
SUPER_75	23984	24137	end		
SUPER_75	1670245	1670552	middle		
SUPER_76	2266208	2266306	middle		
SUPER_79	2174637	2174661	middle		
SUPER_79	2207833	2207986	middle		
SUPER_79	2235411	2235489	middle		
SUPER_79	2246173	2246202	middle		
SUPER_79	2293854	2293927	middle		
SUPER_79	2304612	2304641	middle		
SUPER_79	2362764	2362788	middle		
SUPER_80	29088	29264	end		
SUPER_80	42396	42523	end		
SUPER_80	968083	972643	middle		
SUPER_80	1452749	1453144	middle		
SUPER_81	904553	904596	middle		
SUPER_83	1571461	1573576	middle		
SUPER_84	103471	103554	middle		
SUPER_84	106604	106882	middle		
SUPER_86	754515	756911	middle		
SUPER_86	2061501	2061634	middle		
SUPER_86	2063033	2063974	middle		
SUPER_89	1615769	1615849	middle		
SUPER_89	1810579	1811367	middle		
SUPER_89	2480638	2480692	end		
SUPER_93	67791	67940	middle		
SUPER_94	1626639	1627697	middle		
SUPER_96	18058	18155	end		
SUPER_96	18983	19216	end		
SUPER_97	11936	12291	end		
SUPER_98	94346	94601	middle		
SUPER_99	2626	2982	end		
SUPER_101	1059522	1059753	middle		
SUPER_106	2265158	2266081	end		
SUPER_107	400	2339	end		
SUPER_107	188741	188848	middle		
SUPER_107	189044	189102	middle		
SUPER_107	1012348	1012974	middle		
SUPER_109	2266510	2269681	end		
SUPER_110	2259899	2260997	end		
SUPER_111	1046	3718	end		
SUPER_111	10794	10835	end		
SUPER_112	10893	10925	end		
SUPER_112	2075162	2075674	middle		
SUPER_116	1488331	1490340	middle		
SUPER_116	2205030	2209154	end		
SUPER_116	2205030	2209154	end		
SUPER_117	20690	23360	end		
SUPER_118	2143422	2143888	middle		
SUPER_118	2147700	2147829	middle		
SUPER_120	1735830	1736733	middle		
SUPER_121	861814	868291	middle		
SUPER_122	1270297	1270582	middle		
SUPER_122	2130486	2134316	end		
SUPER_123	2074269	2074322	middle		
SUPER_124	2101585	2102338	end		
SUPER_127	2062104	2062162	end		
SUPER_128	987428	988061	middle		
SUPER_132	22536	23610	end		
SUPER_133	2032294	2032428	end		
SUPER_135	1983519	1985224	end		
SUPER_137	4500	4553	end		
SUPER_137	5353	5662	end		
SUPER_141	1860491	1860559	middle		
SUPER_141	1874823	1874902	middle		
SUPER_142	18074	18611	end		
SUPER_142	19394	20967	end		
SUPER_142	27316	27919	end		
SUPER_142	29695	29788	end		
SUPER_142	33156	34498	end		
SUPER_142	1960956	1961021	end		
SUPER_143	29368	30126	end		
SUPER_144	740120	740296	middle		
SUPER_144	741220	741560	middle		
SUPER_144	755978	756543	middle		
SUPER_144	1216355	1216426	middle		
SUPER_144	1222018	1223803	middle		
SUPER_146	1924221	1924361	end		
SUPER_149	801224	803627	middle		
SUPER_149	806315	806664	middle		
SUPER_151	697886	701589	middle		
SUPER_151	707044	708897	middle		
SUPER_152	1242973	1243006	middle		
SUPER_152	1245077	1245254	middle		
SUPER_157	153093	153229	middle		
SUPER_157	1836191	1836483	end		
SUPER_160	1815627	1816556	end		
SUPER_161	14043	14105	end		
SUPER_163	1797560	1797663	end		
SUPER_168	1455	3158	end		
SUPER_168	8067	8231	end		
SUPER_170	11969	11996	end		
SUPER_172	223352	225318	middle		
SUPER_172	225527	225764	middle		
SUPER_174	496	999	end		
SUPER_178	10692	11649	end		
SUPER_182	25885	26109	end		
SUPER_182	29568	30180	end		
SUPER_182	1566333	1567070	middle		
SUPER_182	1571681	1573730	middle		
SUPER_182	1579081	1579772	middle		
SUPER_185	616655	617532	middle		
SUPER_185	618441	618649	middle		
SUPER_187	159388	159417	middle		
SUPER_194	1024	1423	end		
SUPER_194	1800	2134	end		
SUPER_194	14320	17516	end		
SUPER_195	3169	4567	end		
SUPER_197	202	2187	end		
SUPER_197	3154	3232	end		
SUPER_197	8492	9315	end		
SUPER_198	1576118	1576377	end		
SUPER_203	1871	1934	end		
SUPER_204	20464	20670	end		
SUPER_206	1402139	1402220	middle		
SUPER_208	15083	15636	end		
SUPER_209	9594	9652	end		
SUPER_209	11215	11628	end		
SUPER_209	12915	12958	end		
SUPER_209	17634	17692	end		
SUPER_209	19255	19653	end		
SUPER_209	20941	20984	end		
SUPER_209	25662	25720	end		
SUPER_209	27283	27691	end		
SUPER_209	28979	29022	end		
SUPER_211	33870	33964	end		
SUPER_211	34050	34288	end		
SUPER_214	5641	6010	end		
SUPER_214	1083959	1085070	middle		
SUPER_215	7385	7549	end		
SUPER_216	1347830	1348826	middle		
SUPER_216	1352340	1355816	middle		
SUPER_217	10683	11147	end		
SUPER_217	247135	247268	middle		
SUPER_220	536545	536620	middle		
SUPER_223	215623	215765	middle		
SUPER_223	216094	216632	middle		
SUPER_225	1302513	1303343	end		
SUPER_226	1206021	1206048	end		
HAP1_SCAFFOLD_18	712908	713115	middle		
HAP1_SCAFFOLD_18	714450	715093	middle		
HAP1_SCAFFOLD_59	697308	697332	end		
SCAFFOLD_Z1	6865	7243	end		
SCAFFOLD_Z1	10611	10718	end		
SCAFFOLD_204	193789	194417	middle		
SCAFFOLD_204	197087	197125	middle		
SCAFFOLD_134	23485	23541	middle		
SCAFFOLD_134	117129	118215	middle		
SCAFFOLD_212	64807	65714	middle		
SCAFFOLD_212	90991	91057	middle		
SCAFFOLD_212	91306	95333	middle		
HAP1_SCAFFOLD_380	69836	73455	middle		
HAP1_SCAFFOLD_391	40858	40933	middle		
HAP1_SCAFFOLD_412	65022	65750	middle		
SCAFFOLD_11	61677	61857	middle		
SCAFFOLD_11	66367	69163	middle		
SCAFFOLD_142	52371	52718	middle		
HAP1_SCAFFOLD_428	54032	55346	middle		
SCAFFOLD_119	3255	4050	middle		
SCAFFOLD_119	11051	11729	middle		
SCAFFOLD_39	9504	10914	middle		
HAP1_SCAFFOLD_469	26065	26157	middle		
HAP1_SCAFFOLD_470	25498	27493	middle		
SCAFFOLD_195	26906	27221	middle		
SCAFFOLD_195	28865	30042	middle		
SCAFFOLD_195	33819	35213	middle		
SCAFFOLD_195	45279	46157	end		
SCAFFOLD_7	16711	18376	middle		
SCAFFOLD_64	5592	6046	middle		
SCAFFOLD_62	7537	8379	middle		
HAP1_SCAFFOLD_483	8000	8024	middle		
SCAFFOLD_53	16768	20678	middle		
SCAFFOLD_53	21116	21250	middle		
HAP1_SCAFFOLD_496	36271	36903	end		
HAP1_SCAFFOLD_511	25936	26390	middle		
SCAFFOLD_20	25357	27612	middle		
SCAFFOLD_168	6558	8637	middle		
HAP1_SCAFFOLD_544	11276	11324	middle		
HAP1_SCAFFOLD_566	22811	24188	middle		
HAP1_SCAFFOLD_574	17215	18396	middle		
HAP1_SCAFFOLD_583	21053	21111	middle		
HAP1_SCAFFOLD_584	19887	20133	middle		
HAP1_SCAFFOLD_584	20749	20796	middle		
HAP1_SCAFFOLD_620	12555	14038	middle		
HAP1_SCAFFOLD_620	17697	18842	middle		
HAP1_SCAFFOLD_632	15454	15590	middle		
HAP1_SCAFFOLD_642	10985	11855	middle		
HAP1_SCAFFOLD_642	14406	14562	middle		
SCAFFOLD_190	16393	16857	middle		
HAP1_SCAFFOLD_644	7180	8562	middle		
HAP1_SCAFFOLD_644	11896	12332	middle		
HAP1_SCAFFOLD_704	8112	8360	middle		
HAP1_SCAFFOLD_710	1459	3116	middle		
HAP1_SCAFFOLD_744	12768	14009	middle		
HAP1_SCAFFOLD_833	5969	6036	middle		
HAP1_SCAFFOLD_842	9019	10052	end		
