Species	Assembly_Accession
Abrostola_tripartita	GCA_905340225.1
Abrostola_triplasia	GCA_946251915.1
Acentria_ephemerella	GCA_943193645.1
Achlya_flavicornis	GCA_947623365.1
Acleris_cristana	GCA_948252455.1
Acleris_emargana	GCA_927399475.2
Acleris_holmiana	GCA_949316455.1
Acleris_laterana	GCA_963966035.1
Acleris_literana	GCA_946894065.1
Acleris_sparsana	GCA_923062465.1
Acrobasis_consociella	GCA_963555685.1
Acrobasis_repandana	GCA_963576875.1
Acrobasis_suavella	GCA_943193695.1
Acronicta_aceris	GCA_910591435.1
Acronicta_alni	GCA_964056405.1
Acronicta_leporina	GCA_947256265.1
Acronicta_psi	GCA_946251955.1
Aethes_cnicana	GCA_963971205.1
Agonopterix_alstromeriana	GCA_963924505.1
Agonopterix_arenella	GCA_927399405.1
Agonopterix_heracliana	GCA_963693445.1
Agonopterix_subpropinquella	GCA_922987775.1
Agriopis_aurantiaria	GCA_914767915.1
Agriopis_leucophaearia	GCA_949125355.1
Agriopis_marginaria	GCA_932305915.1
Agriphila_geniculea	GCA_943789525.1
Agriphila_straminella	GCA_950108535.1
Agriphila_tristella	GCA_928269145.1
Agrochola_circellaris	GCA_914767755.1
Agrochola_litura	GCA_949152395.1
Agrochola_lota	GCA_947364205.1
Agrochola_lychnidis	GCA_963680765.1
Agrochola_macilenta	GCA_916701695.1
Agrotis_clavis	GCA_954870645.1
Agrotis_exclamationis	GCA_950005045.1
Agrotis_ipsilon	GCA_028554685.1
Agrotis_puta	GCA_943136025.2
Alcis_repandata	GCA_949125135.1
Allophyes_oxyacanthae	GCA_932294325.1
Alsophila_aescularia	GCA_946251855.1
Amorpha_juglandis	GCA_949126905.1
Amphipoea_lucens	GCA_947508005.1
Amphipoea_oculea	GCA_945859645.1
Amphipyra_berbera	GCA_910594945.2
Amphipyra_tragopoginis	GCA_905220435.1
Anania_crocealis	GCA_949315895.1
Anania_fuscalis	GCA_950371115.1
Anania_hortulata	GCA_963576865.1
Anarsia_innoxiella	GCA_947563765.1
Anorthoa_munda	GCA_945859665.1
Antheraea_yamamai	GCA_036509395.1
Anthocharis_cardamines	GCA_905404175.1
Anticlea_derivata	GCA_947579855.1
Antitype_chi	GCA_947359405.1
Apamea_anceps	GCA_951799955.1
Apamea_crenata	GCA_949629185.1
Apamea_epomidion	GCA_947507525.1
Apamea_monoglypha	GCA_911387795.2
Apamea_sordens	GCA_945859715.1
Apeira_syringaria	GCA_934044485.1
Aplocera_efformata	GCA_921293045.1
Apocheima_hispidaria	GCA_947579745.1
Apoda_limacodes	GCA_946406115.1
Apomyelois_bistriatella	GCA_947044815.1
Aporia_crataegi	GCA_912999735.1
Aporophyla_lueneburgensis	GCA_932294355.1
Aporophyla_nigra	GCA_947507805.1
Apotomis_betuletana	GCA_932273695.1
Apotomis_capreana	GCA_947623375.1
Apotomis_turbidana	GCA_905147355.2
Aproaerema_taeniolella	GCA_949987775.1
Archips_crataeganus	GCA_947859365.1
Archips_xylosteana	GCA_947563465.1
Argynnis_bischoffii_washingtonia	GCA_033884665.1
Argyresthia_albistria	GCA_963457715.1
Argyresthia_goedartella	GCA_949825045.1
Aricia_agestis	GCF_905147365.1
Aricia_artaxerxes	GCA_937612035.1
Asteroscopus_sphinx	GCA_949699075.1
Atethmia_centrago	GCA_905333075.3
Athetis_lepigone	GCA_033675125.1
Athrips_mouffetella	GCA_947532105.1
Autographa_gamma	GCA_905146925.1
Autographa_pulchrina	GCA_905475315.1
Bedellia_somnulentella	GCA_963576735.1
Bembecia_ichneumoniformis	GCA_910589475.2
Bicyclus_anynana	GCF_947172395.1
Biston_betularia	GCA_905404145.2
Biston_stratarius	GCA_950106695.1
Blastobasis_adustella	GCA_907269095.1
Blastobasis_lacticolella	GCA_905147135.1
Boloria_euphrosyne	GCA_951802675.2
Boloria_selene	GCA_905231865.2
Bombyx_mori	GCF_030269925.1
Brachylomia_viminalis	GCA_937001585.2
Brenthis_daphne	GCA_947093115.1
Brenthis_hecate	GCA_951806755.1
Brenthis_ino	GCA_921882275.1
Cabera_pusaria	GCA_954871355.1
Calamotropha_paludella	GCA_927399485.1
Callimorpha_dominula	GCA_949752705.1
Campaea_margaritaria	GCA_912999815.1
Camptogramma_bilineatum	GCA_958496255.1
Caradrina_clavipalpis	GCA_932526535.1
Caradrina_kadenii	GCA_947462355.1
Carcina_quercana	GCA_910589575.2
Carpatolechia_fugitivella	GCA_951230895.1
Carposina_sasakii	GCA_014607495.2
Carterocephalus_palaemon	GCA_944567765.1
Cataclysta_lemnata	GCA_963931975.1
Catocala_fraxini	GCA_930367265.1
Catocala_nupta	GCA_963675205.1
Catocala_sponsa	GCA_963564715.1
Catoptria_pinella	GCA_963556745.1
Celastrina_argiolus	GCA_905187575.2
Cenopis_cana	GCA_951800055.1
Ceramica_pisi	GCA_963859965.1
Cerastis_leucographa	GCA_963082945.1
Cerastis_rubricosa	GCA_949152445.1
Charanyca_ferruginea	GCA_947361185.1
Chesias_legatella	GCA_947359385.1
Chilo_suppressalis	GCA_902850365.2
Chloroclysta_siterata	GCA_932294275.1
Chloroclystis_v-ata	GCA_963691955.1
Choreutis_nemorana	GCA_949316135.1
Choristoneura_fumiferana	GCA_025370935.1
Chrysodeixis_includens	GCA_941860345.1
Chrysoteuchia_culmella	GCA_910589605.1
Clanis_bilineata	GCA_036417725.1
Clepsis_dumicolana	GCA_963691665.1
Clostera_curtula	GCA_905475355.2
Cnaphalocrocis_medinalis	GCA_014851415.1
Coenonympha_arcania	GCA_036785405.1
Coenonympha_glycerion	GCA_963855885.1
Coleophora_deauratella	GCA_958295455.1
Coleophora_flavipennella	GCA_947284805.1
Colias_croceus	GCF_905220415.1
Colostygia_pectinataria	GCA_951394395.1
Conistra_vaccinii	GCA_948150665.1
Conogethes_punctiferalis	GCA_031163375.1
Cosmia_pyralina	GCA_946251885.1
Cosmia_trapezina	GCA_905163495.3
Cosmorhoe_ocellata	GCA_963675405.1
Crambus_lathoniellus	GCA_949710035.1
Craniophora_ligustri	GCA_905163465.1
Crocallis_elinguaria	GCA_907269065.1
Cyaniris_semiargus	GCA_905187585.1
Cybosia_mesomella	GCA_946251805.1
Cyclophora_albipunctata	GCA_963082685.1
Cyclophora_punctaria	GCA_951394245.1
Cydalima_perspectalis	GCA_951394215.1
Cydia_amplana	GCF_948474715.1
Cydia_fagiglandana	GCF_963556715.1
Cydia_pomonella	GCF_033807575.1
Cydia_splendana	GCF_910591565.1
Cydia_strobilella	GCF_947568885.1
Danaus_plexippus	GCF_018135715.1
Dasypolia_templi	GCA_963555695.1
Deilephila_elpenor	GCA_949752805.1
Deilephila_porcellus	GCA_905220455.2
Dendrolimus_houi	GCA_039645545.1
Dendrolimus_kikuchii	GCA_019925095.2
Dendrolimus_pini	GCA_949752895.1
Dendrolimus_punctatus	GCA_012273795.1
Diachrysia_chrysitis	GCA_932294365.1
Diaphora_mendica	GCA_949125395.1
Diarsia_brunnea	GCA_949774965.1
Diarsia_dahlii	GCA_949775195.1
Diarsia_mendica	GCA_949316265.1
Diarsia_rubi	GCA_932274075.1
Diatraea_saccharalis	GCA_918026875.4
Dicycla_oo	GCA_948252095.1
Diloba_caeruleocephala	GCA_947459985.1
Dircenna_loreta	GCA_963555665.1
Ditula_angustiorana	GCA_963691745.1
Drepana_falcataria	GCA_945859725.1
Dryas_iulia_moderata	GCA_019049465.1
Drymonia_ruficornis	GCA_947859195.1
Dryobota_labecula	GCA_947523025.1
Dryobotodes_eremita	GCA_917490735.1
Ecliptopera_silaceata	GCA_932527185.1
Ectropis_crepuscularia	GCA_963693475.1
Ectropis_grisescens	GCA_017562165.1
Eilema_caniola	GCA_949126895.1
Eilema_depressum	GCA_914767945.1
Eilema_griseolum	GCA_963662185.1
Eilema_sororculum	GCA_914829495.1
Electrophaes_corylata	GCA_947095575.1
Elegia_similella	GCA_947532085.1
Elophila_nymphaeata	GCA_955850985.1
Emmelina_monodactyla	GCA_916618145.1
Endotricha_flammealis	GCA_905163395.2
Ennomos_erosarius	GCA_963580505.1
Ennomos_fuscantarius	GCA_905220475.3
Ennomos_quercinarius	GCA_910589525.2
Ephestia_elutella	GCA_018467065.1
Epiblema_foenella	GCA_963556455.1
Epinotia_bilunana	GCA_947049275.1
Epinotia_brunnichana	GCA_963854355.1
Epinotia_demarniana	GCA_945867215.1
Epinotia_nisella	GCA_932294315.1
Epinotia_ramella	GCA_947578815.1
