Chromosome	Length_bp	Number_genes	Proportional_length
SUPER_W1	65809200	1833	9.4654
SUPER_Z1	46229683	1161	6.64926
SUPER_Z2	25546431	682	3.67437
SUPER_W2	4527220	146	0.651154
SUPER_1	5890230	206	0.847197
SUPER_2	5175884	204	0.744452
SUPER_3	4446736	103	0.639578
SUPER_4	4414297	139	0.634912
SUPER_5	4397140	115	0.632445
SUPER_6	4289929	99	0.617024
SUPER_7	4252064	104	0.611578
SUPER_8	4031690	134	0.579882
SUPER_9	3992948	91	0.574309
SUPER_10	3824980	111	0.55015
SUPER_11	3713153	98	0.534066
SUPER_12	3630226	133	0.522139
SUPER_13	3492806	57	0.502374
SUPER_14	3492751	118	0.502366
SUPER_15	3480474	110	0.5006
SUPER_16	3463862	175	0.49821
SUPER_17	3393147	93	0.488039
SUPER_18	3363326	99	0.48375
SUPER_19	3357405	105	0.482899
SUPER_20	3350989	82	0.481976
SUPER_21	3341271	82	0.480578
SUPER_22	3339067	114	0.480261
SUPER_23	3326143	128	0.478402
SUPER_24	3298124	62	0.474372
SUPER_25	3291467	135	0.473415
SUPER_26	3266596	104	0.469838
SUPER_27	3262183	49	0.469203
SUPER_28	3241657	90	0.466251
SUPER_29	3216653	105	0.462654
SUPER_30	3183653	58	0.457908
SUPER_31	3181881	93	0.457653
SUPER_32	3149475	81	0.452992
SUPER_33	3142333	145	0.451965
SUPER_34	3136945	79	0.45119
SUPER_35	3092612	52	0.444813
SUPER_36	3089641	78	0.444386
SUPER_37	3086086	81	0.443875
SUPER_38	3076717	142	0.442527
SUPER_39	3074137	131	0.442156
SUPER_40	3036511	129	0.436744
SUPER_41	3031668	74	0.436048
SUPER_42	3026141	135	0.435253
SUPER_43	2998494	55	0.431276
SUPER_44	2989242	88	0.429945
SUPER_45	2939453	86	0.422784
SUPER_46	2935671	56	0.42224
SUPER_47	2932610	111	0.4218
SUPER_48	2930069	89	0.421435
SUPER_49	2912776	107	0.418947
SUPER_50	2907825	87	0.418235
SUPER_51	2905892	149	0.417957
SUPER_52	2899783	33	0.417078
SUPER_53	2898101	88	0.416837
SUPER_54	2897611	100	0.416766
SUPER_55	2896096	56	0.416548
SUPER_56	2888642	101	0.415476
SUPER_57	2888410	89	0.415443
SUPER_58	2883110	84	0.41468
SUPER_59	2832908	78	0.40746
SUPER_60	2766608	119	0.397924
SUPER_61	2748808	51	0.395364
SUPER_62	2748614	130	0.395336
SUPER_63	2723314	73	0.391697
SUPER_64	2717521	49	0.390864
SUPER_65	2710875	60	0.389908
SUPER_66	2704024	129	0.388922
SUPER_67	2704005	62	0.38892
SUPER_68	2703624	78	0.388865
SUPER_69	2693491	76	0.387407
SUPER_70	2682993	59	0.385897
SUPER_71	2674876	83	0.38473
SUPER_72	2670143	74	0.384049
SUPER_73	2660910	64	0.382721
SUPER_74	2660705	64	0.382692
SUPER_75	2655184	63	0.381898
SUPER_76	2607907	75	0.375098
SUPER_77	2603533	92	0.374469
SUPER_78	2596717	104	0.373488
SUPER_79	2577330	160	0.3707
SUPER_80	2575347	52	0.370415
SUPER_81	2561973	120	0.368491
SUPER_82	2555341	57	0.367537
SUPER_83	2552904	63	0.367187
SUPER_84	2549962	79	0.366763
SUPER_85	2531656	54	0.36413
SUPER_86	2519337	91	0.362359
SUPER_87	2518714	62	0.362269
SUPER_88	2517979	49	0.362163
SUPER_89	2505151	55	0.360318
SUPER_90	2489481	67	0.358064
SUPER_91	2461106	79	0.353983
SUPER_92	2459811	64	0.353797
SUPER_93	2449030	74	0.352246
SUPER_94	2446241	93	0.351845
SUPER_95	2439435	99	0.350866
SUPER_96	2433121	81	0.349958
SUPER_97	2430055	70	0.349517
SUPER_98	2421393	45	0.348271
SUPER_99	2421045	86	0.348221
SUPER_100	2407168	83	0.346225
SUPER_101	2384661	70	0.342988
SUPER_102	2382996	84	0.342749
SUPER_103	2370684	65	0.340978
SUPER_104	2354086	40	0.33859
SUPER_105	2338908	71	0.336407
SUPER_106	2287668	102	0.329037
SUPER_107	2284528	156	0.328586
SUPER_108	2277642	38	0.327595
SUPER_109	2275114	83	0.327232
SUPER_110	2271955	98	0.326777
SUPER_111	2269456	44	0.326418
SUPER_112	2260593	73	0.325143
SUPER_113	2259495	59	0.324985
SUPER_114	2257867	76	0.324751
SUPER_115	2245698	54	0.323001
SUPER_116	2217189	67	0.3189
SUPER_117	2213033	87	0.318303
SUPER_118	2207690	59	0.317534
SUPER_119	2190033	72	0.314994
SUPER_120	2188854	58	0.314825
SUPER_121	2156281	95	0.31014
SUPER_122	2140987	82	0.30794
SUPER_123	2133688	55	0.30689
SUPER_124	2103561	49	0.302557
SUPER_125	2081208	83	0.299342
SUPER_126	2078541	78	0.298958
SUPER_127	2078247	48	0.298916
SUPER_128	2072573	79	0.2981
SUPER_129	2065064	33	0.29702
SUPER_130	2061552	68	0.296515
SUPER_131	2046986	43	0.29442
SUPER_132	2045285	50	0.294175
SUPER_133	2044111	96	0.294006
SUPER_134	2024970	88	0.291253
SUPER_135	2020826	44	0.290657
SUPER_136	2020624	52	0.290628
SUPER_137	2004477	95	0.288306
SUPER_138	2003829	87	0.288213
SUPER_139	1988582	75	0.28602
SUPER_140	1982661	31	0.285168
SUPER_141	1967534	61	0.282992
SUPER_142	1963463	100	0.282407
SUPER_143	1961314	81	0.282098
SUPER_144	1949356	61	0.280378
SUPER_145	1930699	60	0.277694
SUPER_146	1926000	49	0.277018
SUPER_147	1924439	22	0.276794
SUPER_148	1919372	158	0.276065
SUPER_149	1918465	91	0.275935
SUPER_150	1905741	77	0.274104
SUPER_151	1898278	57	0.273031
SUPER_152	1898073	43	0.273002
SUPER_153	1894847	92	0.272538
SUPER_154	1893423	74	0.272333
SUPER_155	1875360	40	0.269735
SUPER_156	1868527	38	0.268752
SUPER_157	1838197	69	0.26439
SUPER_158	1827649	49	0.262872
SUPER_159	1822898	49	0.262189
SUPER_160	1819404	34	0.261687
SUPER_161	1812594	39	0.260707
SUPER_162	1810906	70	0.260464
SUPER_163	1804015	55	0.259473
SUPER_164	1801550	39	0.259119
SUPER_165	1798755	47	0.258717
SUPER_166	1780141	41	0.256039
SUPER_167	1776512	45	0.255517
SUPER_168	1772455	58	0.254934
SUPER_169	1767208	34	0.254179
SUPER_170	1761988	32	0.253428
SUPER_171	1758583	47	0.252939
SUPER_172	1753108	70	0.252151
SUPER_173	1747734	77	0.251378
SUPER_174	1743285	71	0.250738
SUPER_175	1740776	37	0.250377
SUPER_176	1736287	86	0.249732
SUPER_177	1724975	40	0.248105
SUPER_178	1717476	44	0.247026
SUPER_179	1713466	61	0.246449
SUPER_180	1702255	36	0.244837
SUPER_181	1701127	89	0.244675
SUPER_182	1690012	56	0.243076
SUPER_183	1681795	17	0.241894
SUPER_184	1675653	61	0.241011
SUPER_185	1673387	55	0.240685
SUPER_186	1667794	64	0.23988
SUPER_187	1649359	66	0.237229
SUPER_188	1647562	64	0.23697
SUPER_189	1645482	90	0.236671
SUPER_190	1635444	64	0.235227
SUPER_191	1630908	62	0.234575
SUPER_192	1622178	46	0.233319
SUPER_193	1608124	35	0.231298
SUPER_194	1606851	38	0.231115
SUPER_195	1597205	48	0.229727
SUPER_196	1583982	53	0.227826
SUPER_197	1580445	41	0.227317
SUPER_198	1580165	49	0.227277
SUPER_199	1577722	47	0.226925
SUPER_200	1558842	40	0.22421
SUPER_201	1557078	38	0.223956
SUPER_202	1555514	52	0.223731
SUPER_203	1554212	65	0.223544
SUPER_204	1534319	80	0.220683
SUPER_205	1517912	47	0.218323
SUPER_206	1499567	36	0.215684
SUPER_207	1499079	39	0.215614
SUPER_208	1482374	53	0.213211
SUPER_209	1467644	50	0.211093
SUPER_210	1461408	22	0.210196
SUPER_211	1451321	46	0.208745
SUPER_212	1424491	56	0.204886
SUPER_213	1414864	72	0.203501
SUPER_214	1403347	42	0.201845
SUPER_215	1401162	33	0.20153
SUPER_216	1400332	30	0.201411
SUPER_217	1370692	37	0.197148
SUPER_218	1370525	38	0.197124
