Species	Chr	Start	Stop	Hox gene	Orientation	Percent identity score
P. atlantica	SUPER_46	996157	996313	Ro	L	70
P. atlantica	SUPER_46	1281560	1281680	Pb	L	100
P. atlantica	SUPER_46	1404254	1404431	ShxA	L	65
P. atlantica	SUPER_46	1411276	1411453	ShxB	R	56
P. atlantica	SUPER_46	1413236	1413416	ShxC	L	65
P. atlantica	SUPER_46	1422820	1423003	zen	L	80
P. atlantica	SUPER_46	1544158	1544335	Dfd	R	100
P. atlantica	SUPER_46	1632013	1632199	Scr	L	100
P. atlantica	SUPER_46	1702234	1702411	ftz	L	82
P. atlantica	SUPER_46	1796048	1796225	Antp	L	100
P. atlantica	SUPER_46	2110501	2110684	Ubx	L	100
P. atlantica	SUPER_46	2402702	2402885	abd-A	L	100
P. atlantica	SUPER_46	2720573	2720750	Abd-B	L	100
P. atlantica	SUPER_69	1727814	1727991	lab	L	98
P. icarus	OW569322.1	1012739	1012916	lab	R	98.305
P. icarus	OW569322.1	11832845	11833022	Abd-B	R	100
P. icarus	OW569322.1	12151501	12151684	abd-A	R	100
P. icarus	OW569322.1	12422919	12423102	Ubx	R	100
P. icarus	OW569322.1	12726340	12726517	Antp	R	100
P. icarus	OW569322.1	12807226	12807403	ftz	R	82.609
P. icarus	OW569322.1	12879042	12879228	Scr	R	100
P. icarus	OW569322.1	12952999	12953176	Dfd	L	100
P. icarus	OW569322.1	13034595	13034778	zen	R	79.31
P. icarus	OW569322.1	13041294	13041474	ShxC	R	66.102
P. icarus	OW569322.1	13043285	13043462	ShxB	L	56.14
P. icarus	OW569322.1	13050514	13050691	ShxA	R	66.102
P. icarus	OW569322.1	13162148	13162343	Pb	R	100
P. icarus	OW569322.1	13402788	13402920	Ro	R	75
