buscoID	query_chr	position	assigned_chr	status
0at7088	OY730179.1	24192324.5	M28	M28
1at7088	OY730178.1	22920021.5	MZ	self
2at7088	OY730189.1	17516635.5	M3	M3
3at7088	OY730188.1	22924481.0	M5	self
4at7088	OY730190.1	9304427.0	M19	self
6at7088	OY730187.1	11789868.0	M5	M5
11at7088	OY730180.1	5240553.0	M10	M10
13at7088	OY730177.1	21914773.0	M13	M13
18at7088	OY730179.1	16639658.5	M10	M10
20at7088	OY730184.1	17761855.0	M12	M12
25at7088	OY730180.1	6595497.5	M10	M10
26at7088	OY730190.1	2462649.5	M1	M1
27at7088	OY730178.1	20934176.0	MZ	self
31at7088	OY730182.1	3709433.5	M28	M28
33at7088	OY730189.1	29612321.0	M1	self
34at7088	OY730190.1	5207321.5	M1	M1
36at7088	OY730185.1	21033159.5	M13	M13
37at7088	OY730178.1	26399451.0	MZ	self
38at7088	OY730177.1	13528401.5	M28	M28
41at7088	OY730188.1	16234371.0	M5	self
43at7088	OY730177.1	23366102.0	M12	M12
46at7088	OY730185.1	20415679.5	M5	M5
47at7088	OY730181.1	22237338.5	M17	M17
48at7088	OY730182.1	2549877.5	M22	M22
49at7088	OY730180.1	18198582.5	M3	M3
50at7088	OY730180.1	21378640.0	M8	self
51at7088	OY730188.1	22283137.5	M5	self
52at7088	OY730179.1	9486761.0	M18	M18
54at7088	OY730187.1	15931637.5	M8	M8
56at7088	OY730184.1	15201865.0	M12	M12
57at7088	OY730189.1	23112434.5	M1	self
59at7088	OY730179.1	18155551.5	M10	M10
60at7088	OY730189.1	5654945.0	M8	M8
63at7088	OY730182.1	20577373.0	M16	M16
64at7088	OY730189.1	18091183.0	M3	M3
65at7088	OY730181.1	33641866.5	M23	M23
66at7088	OY730184.1	273433.0	M6	M6
68at7088	OY730178.1	37119521.5	MZ	self
69at7088	OY730187.1	20053156.0	M15	self
72at7088	OY730185.1	13571344.5	M17	self
74at7088	OY730179.1	34400720.0	M4	M4
78at7088	OY730182.1	29032582.5	M11	self
83at7088	OY730177.1	15083887.5	M28	M28
84at7088	OY730182.1	26177397.5	M11	self
86at7088	OY730187.1	1442065.5	M7	M7
88at7088	OY730189.1	26644090.0	M1	self
96at7088	OY730178.1	34500403.0	MZ	self
101at7088	OY730178.1	33515534.0	MZ	self
103at7088	OY730182.1	1952619.5	M22	M22
105at7088	OY730182.1	3743474.0	M28	M28
112at7088	OY730185.1	12807754.0	M17	self
113at7088	OY730178.1	33094522.0	MZ	self
116at7088	OY730189.1	28989362.5	M1	self
122at7088	OY730177.1	8026715.5	M14	M14
123at7088	OY730181.1	17197093.0	M11	self
126at7088	OY730188.1	14801461.5	M14	M14
127at7088	OY730182.1	8898612.5	M22	M22
128at7088	OY730183.1	12886832.5	M3	self
133at7088	OY730181.1	9683493.0	M7	M7
136at7088	OY730190.1	1369540.5	M1	M1
137at7088	OY730185.1	30337334.5	M16	M16
139at7088	OY730180.1	29636478.5	M21	M21
140at7088	OY730183.1	25613894.0	M4	M4
145at7088	OY730187.1	29381527.0	M22	M22
148at7088	OY730177.1	10192982.5	M15	M15
155at7088	OY730188.1	1382086.5	M18	M18
158at7088	OY730177.1	33710111.5	M10	M10
159at7088	OY730182.1	25685799.5	M11	self
160at7088	OY730179.1	31660487.0	M9	M9
163at7088	OY730180.1	25842733.0	M8	self
173at7088	OY730188.1	14211703.0	M14	M14
177at7088	OY730181.1	7716538.5	M7	M7
179at7088	OY730188.1	29344237.5	M5	self
183at7088	OY730182.1	39429958.5	M5	M5
184at7088	OY730186.1	36794902.0	M18	M18
