buscoID	query_chr	position	assigned_chr	status
0at7088	OW569341.1	6685118.5	M28	self
1at7088	OW569320.1	22331153.5	MZ	self
2at7088	OW569332.1	10431957.5	M3	self
3at7088	OW569324.1	15308806.0	M5	self
4at7088	OW569321.1	21972070.0	M19	M19
6at7088	OW569324.1	1512073.0	M5	self
11at7088	OW569337.1	5609441.0	M10	self
13at7088	OW569329.1	361262.5	M13	M13
18at7088	OW569337.1	11592434.0	M10	self
20at7088	OW569325.1	22243120.5	M12	self
25at7088	OW569337.1	6865700.0	M10	self
26at7088	OW569321.1	15091841.5	M1	self
27at7088	OW569320.1	20456605.0	MZ	self
31at7088	OW569341.1	3731718.0	M28	self
33at7088	OW569321.1	4518163.5	M1	self
34at7088	OW569321.1	17791598.0	M1	self
36at7088	OW569340.1	4760982.5	M13	self
37at7088	OW569320.1	25578401.0	MZ	self
38at7088	OW569341.1	936540.0	M28	self
41at7088	OW569324.1	8789715.0	M5	self
43at7088	OW569325.1	10927049.0	M12	self
46at7088	OW569324.1	18905184.5	M5	self
47at7088	OW569328.1	17337102.5	M17	self
48at7088	OW569339.1	11807824.5	M22	self
49at7088	OW569332.1	18490147.5	M3	self
50at7088	OW569326.1	12161400.0	M8	self
51at7088	OW569324.1	14767614.0	M5	self
52at7088	OW569322.1	10283043.0	M18	self
54at7088	OW569326.1	5452619.5	M8	self
56at7088	OW569325.1	19754240.5	M12	self
57at7088	OW569321.1	10288143.5	M1	self
59at7088	OW569337.1	9936744.0	M10	self
60at7088	OW569326.1	23890179.5	M8	self
63at7088	OW569334.1	1145429.0	M16	self
64at7088	OW569332.1	9826789.5	M3	self
65at7088	OW569323.1	14817424.5	M23	M23
66at7088	OW569333.1	5779416.5	M6	self
68at7088	OW569320.1	35753343.5	MZ	self
69at7088	OW569338.1	3231439.5	M15	self
72at7088	OW569328.1	13000891.0	M17	self
74at7088	OW569336.1	11692159.5	M4	self
78at7088	OW569323.1	11427193.0	M11	self
83at7088	OW569341.1	2385019.0	M28	self
84at7088	OW569323.1	8508206.5	M11	self
86at7088	OW569330.1	13922911.0	M7	self
88at7088	OW569321.1	7195045.5	M1	self
96at7088	OW569320.1	33252715.0	MZ	self
101at7088	OW569320.1	32428387.0	MZ	self
103at7088	OW569339.1	12411757.5	M22	self
105at7088	OW569341.1	3773092.5	M28	self
112at7088	OW569328.1	13676890.5	M17	self
113at7088	OW569320.1	31826589.0	MZ	self
116at7088	OW569321.1	5080694.5	M1	self
122at7088	OW569327.1	17721068.5	M14	self
123at7088	OW569323.1	3731430.0	M11	self
126at7088	OW569327.1	19759733.0	M14	self
127at7088	OW569339.1	5478639.5	M22	self
128at7088	OW569332.1	3488806.0	M3	self
133at7088	OW569330.1	17316041.0	M7	self
136at7088	OW569321.1	14121616.0	M1	self
137at7088	OW569334.1	8357444.0	M16	self
139at7088	OW569335.1	2448784.0	M21	self
140at7088	OW569336.1	17332078.0	M4	self
145at7088	OW569339.1	11691742.5	M22	self
148at7088	OW569338.1	11955961.0	M15	self
155at7088	OW569322.1	17249795.5	M18	self
158at7088	OW569337.1	13295654.5	M10	self
159at7088	OW569323.1	8129955.0	M11	self
160at7088	OW569331.1	11051279.5	M9	self
163at7088	OW569326.1	16427354.0	M8	self
173at7088	OW569327.1	19182576.5	M14	self
177at7088	OW569330.1	15376290.0	M7	self
179at7088	OW569324.1	19271797.0	M5	self
183at7088	OW569324.1	23377162.0	M5	self
184at7088	OW569322.1	755500.0	M18	self
186at7088	OW569332.1	10049597.5	M3	self
190at7088	OW569341.1	8981193.5	M28	self
193at7088	OW569336.1	1221790.0	M4	self
196at7088	OW569324.1	12194288.0	M5	self
200at7088	OW569340.1	1004974.5	M13	self
201at7088	OW569325.1	16808466.0	M12	self
204at7088	OW569329.1	7301465.0	M2	self
206at7088	OW569328.1	8745819.5	M20	M20
207at7088	OW569330.1	4519719.5	M7	self
208at7088	OW569329.1	9218659.0	M2	self
210at7088	OW569329.1	10078773.5	M2	self
212at7088	OW569320.1	25524098.0	MZ	self
215at7088	OW569338.1	2945040.5	M15	self
220at7088	OW569333.1	9505578.5	M6	self
231at7088	OW569340.1	5805804.0	M13	self
232at7088	OW569332.1	10585820.5	M3	self
235at7088	OW569321.1	3244192.5	M1	self
236at7088	OW569329.1	16572174.5	M2	self
242at7088	OW569331.1	1919699.0	M9	self
