Chr	Start	Stop	Hox_gene	Orientation	Percent_identity_score
SUPER_193	431738	431780	Pax3/7	L	87.5
SUPER_193	432187	432334	Pax3/7	L	87.5
SUPER_193	527872	528022	Pax3/7	R	93.75
SUPER_193	528415	528463	Pax3/7	R	93.75
SUPER_83	77239	77413	Hbn	R	91.489
SUPER_83	97275	97452	Arx	R	69.565
SUPER_83	282188	282239	Rax	L	100
SUPER_83	320527	320671	Rax	L	100
SUPER_83	475276	475417	Otp	L	85.417
SUPER_145	698052	698226	Phox	R	100
SUPER_145	724284	724368	Phox	R	100
SUPER_1	1079013	1079151	Prrx	R	89.362
SUPER_1	1080707	1080746	Prrx	R	100
SUPER_83	77239	77413	Hbn	R	91.489
SUPER_83	97275	97452	Arx	R	69.565
SUPER_83	282188	282239	Rax	L	100
SUPER_83	320527	320671	Rax	L	100
SUPER_83	475276	475417	Otp	L	85.417
