Chr	Start	Stop	Hox_gene	Orientation	Percent_identity_score
SUPER_46	996157	996313	Ro	L	70
SUPER_46	1281560	1281680	Pb	L	100
SUPER_46	1404254	1404431	ShxA	L	65
SUPER_46	1411276	1411453	ShxB	R	56
SUPER_46	1413236	1413416	ShxC	L	65
SUPER_46	1422820	1423003	zen	L	80
SUPER_46	1544158	1544335	Dfd	R	100
SUPER_46	1632013	1632199	Scr	L	100
SUPER_46	1702234	1702411	ftz	L	82
SUPER_46	1796048	1796225	Antp	L	100
SUPER_46	2110501	2110684	Ubx	L	100
SUPER_46	2402702	2402885	abd-A	L	100
SUPER_46	2720573	2720750	Abd-B	L	100
SUPER_69	1727814	1727991	lab	L	98
