buscoID	query_chr	position	assigned_chr	status
0at7088	OW796117.1	5472358.0	M28	self
1at7088	OW796090.1	9429284.5	MZ	self
2at7088	OW796095.1	6719938.5	M3	self
3at7088	OW796096.1	12403200.0	M5	self
4at7088	OW796112.1	799649.5	M19	self
6at7088	OW796096.1	5679645.0	M5	self
11at7088	OW796104.1	8897081.5	M10	self
13at7088	OW796091.1	3143438.5	M13	M13
18at7088	OW796104.1	4694789.0	M10	self
20at7088	OW796094.1	3489060.5	M12	self
25at7088	OW796104.1	8140652.0	M10	self
26at7088	OW796092.1	3578874.0	M1	self
27at7088	OW796090.1	15211027.0	MZ	self
31at7088	OW796117.1	3127897.0	M28	self
33at7088	OW796092.1	9186379.0	M1	self
34at7088	OW796092.1	1147332.0	M1	self
36at7088	OW796113.1	6125878.5	M13	self
37at7088	OW796090.1	5823462.0	MZ	self
38at7088	OW796117.1	489649.0	M28	self
41at7088	OW796096.1	6768983.0	M5	self
43at7088	OW796094.1	5811888.5	M12	self
46at7088	OW796096.1	2509413.0	M5	self
47at7088	OW796093.1	11738445.0	M17	self
48at7088	OW796106.1	4701590.0	M22	self
49at7088	OW796095.1	1734878.5	M3	self
50at7088	OW796099.1	7015161.0	M8	self
51at7088	OW796096.1	12942614.5	M5	self
52at7088	OW796102.1	5902821.0	M18	self
54at7088	OW796099.1	10859299.5	M8	self
56at7088	OW796094.1	1457425.5	M12	self
57at7088	OW796092.1	6639754.0	M1	self
59at7088	OW796104.1	5681802.0	M10	self
60at7088	OW796099.1	21110.5	M8	self
63at7088	OW796100.1	1528187.0	M16	self
64at7088	OW796095.1	7079317.5	M3	self
65at7088	OW796111.1	437332.5	M23	self
66at7088	OW796103.1	9609412.5	M6	self
68at7088	OW796090.1	19336029.5	MZ	self
69at7088	OW796107.1	8886181.5	M15	self
72at7088	OW796093.1	8148029.5	M17	self
74at7088	OW796105.1	5267898.5	M4	self
78at7088	OW796108.1	2426458.0	M11	self
83at7088	OW796117.1	1866439.5	M28	self
84at7088	OW796108.1	4626779.5	M11	self
86at7088	OW796097.1	5221933.0	M7	self
88at7088	OW796092.1	7490342.5	M1	self
96at7088	OW796090.1	21521839.5	MZ	self
101at7088	OW796090.1	20296275.5	MZ	self
103at7088	OW796106.1	4242180.5	M22	self
112at7088	OW796093.1	8598444.5	M17	self
113at7088	OW796090.1	20398780.0	MZ	self
116at7088	OW796092.1	9592091.0	M1	self
122at7088	OW796109.1	4146325.0	M14	self
123at7088	OW796108.1	8198339.0	M11	self
126at7088	OW796109.1	7386067.5	M14	self
127at7088	OW796106.1	8881659.0	M22	self
128at7088	OW796095.1	10647324.0	M3	self
133at7088	OW796097.1	2914476.0	M7	self
