query_chr	status	assigned_ref_chr
LR994567.1	fusion	M28,M31
LR994548.1	fusion	M25,M5
LR994546.1	fusion	M1,M19
LR994551.1	fusion	M12,M29
LR994554.1	fusion	M17,M20
LR994549.1	fusion	M18,M30
LR994550.1	fusion	M11,M23
LR994552.1	fusion	M14,M26
LR994547.1	ancestral	MZ
LR994557.1	ancestral	M3
LR994565.1	ancestral	M10
LR994555.1	ancestral	M2
LR994566.1	ancestral	M13
LR994562.1	ancestral	M22
LR994553.1	ancestral	M8
LR994561.1	ancestral	M16
LR994559.1	ancestral	M6
LR994564.1	ancestral	M15
LR994560.1	ancestral	M4
LR994558.1	ancestral	M7
LR994563.1	ancestral	M21
LR994556.1	ancestral	M9
LR994568.1	ancestral	M24
LR994569.1	ancestral	M27
